Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,20,161,204,174,212,253,427,561,600,636
Expenses+,18,154,193,164,210,245,319,377,394,425
Operating Profit,2,7,10,11,2,7,108,184,206,212
OPM %,8%,5%,5%,6%,1%,3%,25%,33%,34%,33%
Other Income+,0,-0,0,1,2,30,19,17,4,5
Interest,0,0,1,1,1,2,12,21,25,25
Depreciation,0,0,0,1,1,3,21,40,42,44
Profit before tax,1,7,9,9,1,33,94,140,143,147
Tax %,39%,36%,17%,24%,-48%,10%,21%,27%,28%,
Net Profit+,1,4,8,7,2,29,74,103,103,107
EPS in Rs,0.02,0.09,0.16,0.12,0.04,0.59,1.26,1.76,1.76,1.83
Dividend Payout %,29%,0%,0%,21%,71%,4%,2%,2%,2%,
