Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,872","2,816","2,494","2,679","2,228","2,645","2,703","2,485","2,417","2,938","2,579","3,072","3,119"
Expenses+,268,372,431,480,524,606,590,619,623,665,737,849,879
Operating Profit,"1,604","2,443","2,063","2,199","1,705","2,039","2,112","1,867","1,794","2,273","1,843","2,223","2,241"
OPM %,86%,87%,83%,82%,76%,77%,78%,75%,74%,77%,71%,72%,72%
Other Income+,237,309,541,411,409,397,587,425,195,310,380,308,289
Interest,29,65,218,55,101,251,344,42,226,449,482,743,803
Depreciation,475,641,677,680,365,390,384,393,404,396,557,676,706
Profit before tax,"1,338","2,047","1,709","1,875","1,648","1,795","1,972","1,856","1,360","1,738","1,183","1,112","1,022"
Tax %,17%,18%,17%,18%,26%,24%,21%,11%,27%,22%,23%,26%,
Net Profit+,"1,114","1,677","1,411","1,545","1,225","1,367","1,567","1,646",990,"1,359",911,818,689
EPS in Rs,2.69,4.05,3.41,3.73,3.12,3.47,3.99,4.19,2.52,3.46,2.32,2.09,1.76
Dividend Payout %,36%,26%,32%,74%,122%,62%,55%,53%,68%,51%,78%,70%,
