Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,99.96,35.54,19.70,16.33,9.87,2.00,0.39,0.00,0.00,0.00,0.00
Expenses+,111.53,64.36,66.81,104.24,95.87,25.36,4.11,1.97,1.95,2.05,2.19
Operating Profit,-11.57,-28.82,-47.11,-87.91,-86.00,-23.36,-3.72,-1.97,-1.95,-2.05,-2.19
OPM %,-11.57%,-81.09%,-239.14%,-538.33%,-871.33%,"-1,168.00%",-953.85%,,,,
Other Income+,74.99,19.69,16.81,-13.55,141.54,1.29,-5.55,0.35,0.89,1.07,1.10
Interest,57.02,69.61,65.97,64.90,55.67,41.59,1.91,1.80,1.63,1.45,1.40
Depreciation,31.58,29.37,28.19,29.24,21.08,18.78,13.42,10.23,7.71,5.71,5.66
Profit before tax,-25.18,-108.11,-124.46,-195.60,-21.21,-82.44,-24.60,-13.65,-10.40,-8.14,-8.15
Tax %,0.00%,0.51%,-0.38%,0.51%,216.22%,0.56%,-8.62%,0.00%,0.00%,0.00%,
Net Profit+,-25.18,-108.67,-123.99,-196.60,-67.08,-82.90,-22.48,-13.65,-10.41,-8.14,-8.15
EPS in Rs,-8.29,-35.78,-40.82,-64.73,-22.09,-27.29,-7.40,-4.49,-3.43,-2.68,-2.69
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
