Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2025,TTM
Sales+,83,155,179,216,262,345,386,439,460,561,584
Expenses+,68,133,151,184,223,298,340,393,411,500,518
Operating Profit,15,22,28,32,39,46,45,46,49,62,66
OPM %,18%,14%,16%,15%,15%,13%,12%,11%,11%,11%,11%
Other Income+,0,2,1,2,2,1,2,2,0,3,1
Interest,3,6,8,10,9,12,18,18,17,16,17
Depreciation,5,9,9,9,9,13,15,17,18,36,38
Profit before tax,7,10,13,15,24,22,14,13,13,12,13
Tax %,31%,21%,17%,27%,33%,28%,25%,18%,40%,24%,
Net Profit+,5,8,11,11,16,16,10,10,8,9,10
EPS in Rs,,5.58,7.23,7.73,11.34,10.94,8.08,6.86,4.82,5.21,5.71
Dividend Payout %,21%,14%,14%,14%,13%,15%,20%,23%,19%,19%,
