Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,111","2,983","2,933","2,987","2,940","2,962","2,771","2,326","3,817","3,789","4,058","4,826","4,773"
Expenses+,"2,724","2,637","2,535","2,660","2,713","2,798","2,587","2,151","3,385","3,541","3,963","4,617","4,506"
Operating Profit,387,346,398,326,227,164,184,175,432,248,95,209,267
OPM %,12%,12%,14%,11%,8%,6%,7%,8%,11%,7%,2%,4%,6%
Other Income+,27,32,30,35,43,32,43,39,38,105,127,34,39
Interest,136,125,126,110,117,120,109,83,68,74,97,140,136
Depreciation,118,135,149,132,124,124,132,128,113,127,153,161,155
Profit before tax,160,117,153,118,28,-47,-13,3,290,152,-28,-58,14
Tax %,36%,27%,27%,12%,25%,-19%,7%,-499%,15%,19%,-26%,-31%,
Net Profit+,102,86,112,104,21,-38,-13,21,246,123,-21,-40,8
EPS in Rs,21.74,18.65,24.24,22.10,4.45,-8.13,-2.85,4.42,52.28,26.08,-4.47,-8.50,1.72
Dividend Payout %,29%,27%,26%,28%,22%,0%,0%,0%,24%,19%,-112%,0%,
