Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,648,698,856,"1,091",977,"1,092","1,313","1,222","1,400","1,627","1,593","1,713","1,782"
Expenses+,564,674,717,"1,012",940,"1,049","1,229","1,095","1,222","1,511","1,506","1,638","1,723"
Operating Profit,84,24,139,79,37,42,84,126,178,116,87,75,58
OPM %,13%,3%,16%,7%,4%,4%,6%,10%,13%,7%,5%,4%,3%
Other Income+,-0,8,1,2,7,15,231,77,-13,21,14,30,39
Interest,80,87,95,90,99,94,22,18,29,23,28,34,33
Depreciation,33,27,28,28,31,33,34,27,28,31,35,27,27
Profit before tax,-30,-82,17,-38,-87,-69,259,158,109,82,37,44,37
Tax %,-19%,-33%,-0%,19%,-1%,8%,-3%,-0%,22%,23%,24%,22%,
Net Profit+,-24,-55,17,-45,-86,-75,266,158,85,63,28,34,37
EPS in Rs,-1.56,-3.58,1.09,-2.94,-5.63,-4.88,17.30,10.27,5.55,4.13,1.82,2.24,2.39
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
