Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,785,863,865,881,932,"1,036",974,"1,209","1,460","1,458","1,501","1,659","1,655"
Expenses+,722,783,785,764,814,909,871,"1,014","1,234","1,305","1,345","1,479","1,453"
Operating Profit,63,80,80,117,118,128,103,195,226,152,157,179,201
OPM %,8%,9%,9%,13%,13%,12%,11%,16%,15%,10%,10%,11%,12%
Other Income+,11,21,43,22,44,24,46,22,8,24,14,15,16
Interest,36,38,40,34,22,15,15,10,9,21,25,17,18
Depreciation,49,25,25,26,28,29,31,33,33,34,37,36,37
Profit before tax,-11,39,57,79,112,107,103,175,193,122,109,142,163
Tax %,-71%,7%,-0%,30%,30%,30%,33%,34%,34%,12%,33%,34%,
Net Profit+,-3,90,192,205,176,172,170,279,303,124,106,181,231
EPS in Rs,-0.36,10.39,22.21,23.63,20.31,19.89,19.56,32.16,34.95,14.28,12.18,20.84,26.62
Dividend Payout %,-70%,3%,2%,2%,2%,3%,3%,3%,3%,7%,6%,5%,
