Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,761,834,925,981,"1,021","1,048","1,114","1,322","1,564","1,687","1,841","2,123","2,245"
Expenses+,628,716,774,814,862,908,955,"1,083","1,350","1,469","1,537","1,828","1,983"
Operating Profit,132,119,151,167,159,141,160,239,215,217,304,296,262
OPM %,17%,14%,16%,17%,16%,13%,14%,18%,14%,13%,17%,14%,12%
Other Income+,12,25,10,12,13,21,-28,36,6,-8,5,-38,66
Interest,18,19,22,6,5,16,26,20,16,24,40,49,54
Depreciation,19,29,30,19,24,31,52,62,72,80,86,95,102
Profit before tax,109,94,110,153,143,115,54,194,132,104,183,114,173
Tax %,27%,26%,34%,31%,35%,24%,34%,26%,-13%,40%,32%,36%,
Net Profit+,79,70,73,105,94,88,36,144,149,63,124,73,155
EPS in Rs,"5,980.35",5.32,5.05,7.25,6.49,6.12,2.53,10.24,10.73,4.42,8.84,5.29,11.19
Dividend Payout %,19%,28%,30%,24%,27%,0%,38%,17%,7%,45%,8%,19%,
