Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,80,90,78,204,131,276,196,181,144,89,101,104
Expenses+,83,89,77,213,150,265,189,174,142,87,98,101
Operating Profit,-3,0,1,-9,-19,11,7,7,2,2,3,3
OPM %,-4%,0%,1%,-4%,-14%,4%,4%,4%,2%,3%,3%,3%
Other Income+,1,1,1,12,22,1,1,1,7,-2,1,1
Interest,16,5,0,2,1,2,3,2,1,1,1,1
Depreciation,4,2,2,1,1,1,1,1,1,1,1,1
Profit before tax,-21,-6,0,0,1,9,4,5,7,-1,2,2
Tax %,-2%,-112%,86%,"-1,140%",18%,22%,-28%,2%,-2%,-10%,-3%,
Net Profit+,-21,1,0,1,1,7,5,5,7,-1,2,2
EPS in Rs,-18.85,0.65,0.03,1.13,0.53,5.15,3.86,2.90,3.48,-0.53,0.78,0.84
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
