Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,126,201,325,500,640,815,"1,093","1,365","1,750","1,998"
Expenses+,32,47,67,86,101,144,196,218,270,315
Operating Profit,94,154,258,414,539,670,897,"1,147","1,480","1,684"
OPM %,74%,77%,79%,83%,84%,82%,82%,84%,85%,84%
Other Income+,0,3,13,23,19,26,40,44,48,44
Interest,36,53,115,185,207,209,277,389,542,618
Depreciation,2,2,3,6,6,7,7,9,12,13
Profit before tax,56,101,153,247,345,480,654,793,975,"1,096"
Tax %,34%,34%,27%,15%,23%,23%,23%,23%,23%,
Net Profit+,37,67,112,211,267,370,503,612,751,843
EPS in Rs,4.73,8.49,14.18,22.74,28.77,7.45,10.10,12.26,15.03,16.87
Dividend Payout %,0%,0%,0%,0%,0%,0%,20%,37%,30%,
