Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,115,151,173,184,185,216,222,262,463,496
Expenses+,104,135,155,167,168,196,202,232,408,435
Operating Profit,11,16,18,17,17,20,20,30,54,60
OPM %,9%,11%,11%,9%,9%,9%,9%,11%,12%,12%
Other Income+,1,1,1,3,3,12,15,14,17,21
Interest,1,0,0,0,0,2,3,5,1,1
Depreciation,3,3,3,3,3,4,5,5,5,5
Profit before tax,8,14,16,16,16,26,27,34,66,76
Tax %,33%,33%,38%,36%,34%,24%,24%,25%,25%,
Net Profit+,6,9,10,10,11,20,20,25,49,58
EPS in Rs,0.07,0.12,0.13,0.13,0.13,0.23,0.21,0.27,0.53,0.62
Dividend Payout %,24%,17%,16%,15%,15%,13%,0%,0%,0%,
