Metric,Mar 200615m,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2024,Mar 2025,TTM
Sales+,449,236,223,208,225,259,336,285,104,207,90,10,11
Expenses+,420,231,229,208,222,249,339,289,121,222,18,5,13
Operating Profit,28,5,-6,-0,3,10,-4,-4,-17,-15,72,5,-2
OPM %,6%,2%,-3%,-0%,1%,4%,-1%,-1%,-16%,-7%,80%,50%,-15%
Other Income+,-41,-12,-21,-10,-32,-1,50,8,11,38,29,-17,-14
Interest,26,3,2,4,1,1,8,2,2,2,4,7,7
Depreciation,20,15,15,14,14,13,6,5,3,3,1,1,1
Profit before tax,-59,-26,-44,-28,-44,-5,33,-3,-11,18,96,-19,-23
Tax %,1%,1%,0%,1%,0%,-0%,-0%,-0%,2%,-0%,0%,-0%,
Net Profit+,-59,-26,-44,-28,-44,-5,33,-3,-11,18,96,-19,-23
EPS in Rs,-5.20,-2.27,-3.92,-2.49,-3.85,-0.46,2.54,-0.26,-0.60,0.93,5.03,-0.99,-1.18
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
