Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,382,325,284,365,382,352,385,449,470,485,486,512,533
Expenses+,359,342,320,352,369,364,362,394,438,457,476,488,497
Operating Profit,24,-17,-36,13,13,-12,24,55,31,27,10,23,36
OPM %,6%,-5%,-13%,4%,3%,-3%,6%,12%,7%,6%,2%,5%,7%
Other Income+,3,4,10,10,9,6,6,3,7,7,1,12,11
Interest,15,14,14,14,13,14,16,14,11,12,13,13,13
Depreciation,6,7,6,5,4,4,4,4,4,4,6,7,7
Profit before tax,5,-35,-46,4,4,-24,9,40,23,18,-7,15,26
Tax %,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
Net Profit+,4,-35,-46,4,4,-24,9,40,23,18,-7,15,26
EPS in Rs,2.38,-19.06,-24.69,2.21,2.41,-13.02,5.01,21.85,12.48,9.61,-3.95,8.05,14.30
Dividend Payout %,42%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,
