Metric,Dec 2019,Dec 2020,Dec 2021,Mar 202215m,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,236","3,420","3,771","4,884","4,469","5,237","6,385","6,815"
Expenses+,"2,899","3,152","3,526","4,560","4,218","4,878","5,780","5,957"
Operating Profit,337,269,244,323,250,359,605,859
OPM %,10%,8%,6%,7%,6%,7%,9%,13%
Other Income+,-41,-18,74,101,15,9,57,224
Interest,28,38,32,53,54,57,54,25
Depreciation,48,77,81,95,80,90,91,97
Profit before tax,221,136,206,277,131,222,516,961
Tax %,25%,27%,26%,26%,28%,26%,26%,
Net Profit+,165,100,152,203,94,164,384,717
EPS in Rs,39.02,23.55,35.80,47.99,22.16,38.64,86.15,162.50
Dividend Payout %,0%,8%,0%,6%,15%,10%,7%,
