Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,-0,9,98,121,166,251,204,154,240,295,221,270,305
Expenses+,3,12,84,108,145,209,182,149,184,211,220,246,266
Operating Profit,-3,-3,13,13,21,42,22,5,56,84,1,24,40
OPM %,,-37%,14%,11%,12%,17%,11%,3%,23%,28%,0%,9%,13%
Other Income+,0,1,0,1,0,0,1,3,3,1,3,2,1
Interest,0,0,2,2,2,4,3,4,5,2,2,6,8
Depreciation,2,1,3,4,4,5,6,6,7,8,9,12,13
Profit before tax,-5,-4,9,8,15,34,14,-2,47,75,-7,8,20
Tax %,-9%,-82%,21%,55%,42%,32%,25%,-15%,31%,29%,-35%,24%,
Net Profit+,-4,-1,7,4,8,23,10,-2,32,53,-5,6,15
EPS in Rs,-1.68,-0.27,2.98,1.43,3.37,9.14,4.09,-0.81,12.83,21.16,-1.91,2.46,5.82
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
