Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"6,197","6,939","7,507","9,047","9,267","11,134","13,421","15,771","20,299","23,892","26,650","27,153","26,774"
Expenses+,19,34,38,26,38,48,66,113,123,134,133,154,180
Operating Profit,"6,178","6,905","7,468","9,021","9,229","11,085","13,355","15,657","20,177","23,758","26,517","26,999","26,595"
OPM %,100%,100%,99%,100%,100%,100%,100%,99%,99%,99%,100%,99%,99%
Other Income+,1,1,1,0,1,-0,0,0,2,41,6,3,6
Interest,"4,607","4,992","5,519","6,888","6,638","8,183","10,163","11,237","14,075","17,447","20,101","20,495","19,760"
Depreciation,0,0,0,0,0,0,0,4,14,14,9,5,5
Profit before tax,"1,572","1,914","1,950","2,133","2,592","2,902","3,192","4,416","6,090","6,337","6,412","6,502","6,835"
Tax %,55%,60%,56%,56%,21%,22%,0%,0%,0%,0%,0%,0%,
Net Profit+,701,758,849,934,"2,055","2,255","3,192","4,416","6,090","6,337","6,412","6,502","6,835"
EPS in Rs,209.04,211.58,187.50,143.08,3.15,2.40,2.69,3.38,4.66,4.85,4.91,4.98,5.24
Dividend Payout %,6%,20%,40%,40%,18%,18%,0%,31%,30%,31%,31%,32%,
