Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,127,137,176,123,117,110,68,80,71,58,53,39
Expenses+,92,101,126,98,123,109,94,85,71,65,66,50
Operating Profit,35,36,51,25,-6,1,-26,-5,0,-7,-13,-11
OPM %,27%,26%,29%,20%,-5%,1%,-38%,-6%,0%,-11%,-25%,-29%
Other Income+,0,0,0,0,-1,-1,0,0,0,1,2,2
Interest,15,10,17,10,0,2,1,2,1,1,1,1
Depreciation,13,18,21,28,28,28,26,25,19,17,15,15
Profit before tax,7,8,13,-12,-35,-30,-53,-31,-20,-24,-27,-25
Tax %,31%,33%,32%,46%,0%,0%,0%,-0%,0%,0%,0%,
Net Profit+,5,5,9,-32,-50,-30,-53,-31,-20,-24,-27,-25
EPS in Rs,,1.46,2.52,-9.17,-14.45,-8.61,-15.16,-8.56,-5.43,-6.46,-7.28,-6.78
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
