Metric,Mar 201113m,Mar 2012,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,6,80,141,137,148,631,"1,028","1,029","1,212","1,034",793
Expenses+,6,80,138,133,144,620,"1,010","1,009","1,191","1,030",792
Operating Profit,0,0,3,3,4,11,18,19,21,3,1
OPM %,0%,1%,2%,2%,3%,2%,2%,2%,2%,0%,0%
Other Income+,0,0,0,0,0,1,1,10,8,8,7
Interest,0,0,2,2,2,4,4,7,11,13,11
Depreciation,0,0,0,0,0,1,1,1,1,1,1
Profit before tax,0,0,1,2,2,7,14,21,17,-3,-4
Tax %,33%,32%,33%,32%,28%,28%,29%,35%,12%,-20%,
Net Profit+,0,0,1,1,1,5,10,14,15,-2,-3
EPS in Rs,0.00,0.03,0.05,0.04,0.04,0.18,0.36,0.49,0.55,-0.08,-0.10
Dividend Payout %,0%,0%,0%,0%,0%,0%,18%,20%,0%,0%,
