Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,117,140,123,172,211,190,152,140,164,224,288,298
Expenses+,104,128,111,156,191,177,148,128,147,199,251,255
Operating Profit,13,12,12,17,20,13,4,12,17,25,38,43
OPM %,11%,9%,10%,10%,9%,7%,3%,8%,10%,11%,13%,15%
Other Income+,1,1,1,1,1,1,1,1,2,3,3,0
Interest,3,3,3,1,2,2,2,1,1,1,4,5
Depreciation,7,5,4,3,4,4,2,3,5,5,7,7
Profit before tax,4,5,6,14,15,8,1,9,13,22,30,31
Tax %,36%,33%,32%,39%,28%,32%,8%,27%,27%,25%,26%,
Net Profit+,3,3,4,8,11,5,1,6,10,16,22,23
EPS in Rs,4.66,5.47,7.24,6.65,8.32,4.15,0.78,5.07,7.66,12.66,17.51,18.07
Dividend Payout %,23%,15%,7%,8%,6%,12%,64%,10%,7%,4%,3%,
