Metric,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,-0.00,-0.00,-0.00,-0.00,-0.00,20.01,52.09,67.03,86.02,64.77,37.16,22.86
Expenses+,0.01,2.41,0.09,0.02,0.01,19.43,50.50,62.43,77.83,57.72,33.17,19.91
Operating Profit,-0.01,-2.41,-0.09,-0.02,-0.01,0.58,1.59,4.60,8.19,7.05,3.99,2.95
OPM %,,,,,,2.90%,3.05%,6.86%,9.52%,10.88%,10.74%,12.90%
Other Income+,-0.00,-0.00,-0.00,0.01,0.01,0.07,0.04,0.01,0.92,0.45,1.57,4.11
Interest,-0.00,-0.00,-0.00,-0.00,-0.00,0.30,0.98,1.27,1.30,1.53,1.56,1.56
Depreciation,-0.00,-0.00,-0.00,-0.00,-0.00,0.24,0.47,0.47,0.66,0.72,0.59,0.49
Profit before tax,-0.01,-2.41,-0.09,-0.01,-0.00,0.11,0.18,2.87,7.15,5.25,3.41,5.01
Tax %,-0.00%,-0.00%,-0.00%,-0.00%,,627.27%,27.78%,18.47%,24.20%,26.29%,9.09%,
Net Profit+,-0.01,-2.41,-0.09,-0.01,-0.00,-0.58,0.13,2.34,5.42,3.87,3.10,4.90
EPS in Rs,,,,,,-0.39,0.03,0.05,0.07,0.05,0.04,0.07
Dividend Payout %,-0.00%,-0.00%,-0.00%,-0.00%,,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,
