Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0.00,0.00,0.00,0.09,0.06,0.10,0.12,0.18,4.82,5.75,6.32,9.98,10.13
Expenses+,0.18,0.38,0.18,0.21,0.14,0.22,0.73,4.12,3.59,4.96,5.51,9.28,9.23
Operating Profit,-0.18,-0.38,-0.18,-0.12,-0.08,-0.12,-0.61,-3.94,1.23,0.79,0.81,0.70,0.90
OPM %,,,,-133.33%,-133.33%,-120.00%,-508.33%,"-2,188.89%",25.52%,13.74%,12.82%,7.01%,8.88%
Other Income+,0.00,0.00,0.00,0.01,0.03,0.00,0.29,0.18,0.13,0.00,0.17,0.23,0.25
Interest,0.00,0.00,0.04,0.05,0.06,0.08,0.02,0.31,0.33,0.25,0.22,0.14,0.12
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.20,0.23,0.30,0.29
Profit before tax,-0.18,-0.38,-0.22,-0.16,-0.11,-0.20,-0.34,-4.07,0.98,0.34,0.53,0.49,0.74
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.25%,-30.61%,85.29%,39.62%,32.65%,
Net Profit+,-0.18,-0.38,-0.22,-0.16,-0.11,-0.20,-0.34,-4.08,1.27,0.06,0.32,0.33,0.51
EPS in Rs,-0.01,-0.03,-0.02,-0.01,-0.01,-0.01,-0.02,-0.29,0.09,0.00,0.02,0.02,0.04
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
