Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,407","1,158","1,136","1,159","1,307","1,104","1,122","1,763","1,403",939,682,622
Expenses+,"1,245",998,"1,007","1,050","1,193","1,019","1,014","1,562","1,364",976,754,713
Operating Profit,162,160,130,108,114,85,108,201,39,-37,-72,-91
OPM %,11%,14%,11%,9%,9%,8%,10%,11%,3%,-4%,-11%,-15%
Other Income+,2,3,5,10,8,8,8,13,38,77,84,89
Interest,69,60,42,39,39,37,35,40,41,59,57,46
Depreciation,83,68,68,61,57,52,43,37,37,38,35,33
Profit before tax,11,35,25,19,26,4,38,137,0,-56,-80,-82
Tax %,-42%,23%,-0%,-35%,-11%,-109%,14%,29%,"-1,669%",-29%,-36%,
Net Profit+,16,27,25,25,28,9,33,97,3,-40,-51,-55
EPS in Rs,32.83,55.85,52.09,52.59,58.55,18.23,68.18,201.50,5.90,-82.01,-106.39,-113.35
Dividend Payout %,23%,18%,19%,19%,3%,-0%,11%,5%,-0%,-0%,-0%,
