Metric,Mar 2017,Mar 2018,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,419,573,298,577,942,979,"1,080","1,172"
Expenses+,333,478,275,480,758,787,895,970
Operating Profit,86,95,23,98,184,192,185,202
OPM %,20%,17%,8%,17%,20%,20%,17%,17%
Other Income+,4,6,13,10,12,15,24,26
Interest,9,17,12,10,10,11,5,5
Depreciation,12,15,22,24,27,37,45,50
Profit before tax,69,69,2,73,158,159,159,173
Tax %,27%,29%,55%,25%,26%,25%,25%,
Net Profit+,50,49,1,55,117,118,119,132
EPS in Rs,"2,512.00","2,255.49",0.42,23.62,12.54,11.29,11.35,12.47
Dividend Payout %,0%,0%,0%,0%,0%,0%,9%,
