Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,317,254,297,465,358,251,495,650,784,802,798
Expenses+,316,238,276,443,343,238,480,636,768,783,778
Operating Profit,1,16,21,22,15,13,15,14,16,19,20
OPM %,0%,6%,7%,5%,4%,5%,3%,2%,2%,2%,2%
Other Income+,3,2,2,2,1,1,2,3,4,3,4
Interest,9,11,12,11,9,6,5,3,5,4,4
Depreciation,7,6,7,6,6,6,6,6,7,8,8
Profit before tax,-12,1,4,7,0,2,7,7,9,10,11
Tax %,27%,-63%,44%,16%,-505%,45%,27%,25%,22%,24%,
Net Profit+,-15,1,2,6,2,1,5,5,7,8,8
EPS in Rs,-11.24,0.91,1.74,4.32,1.78,0.60,2.98,3.31,4.09,4.62,5.15
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
