Metric,Mar 2007,Mar 2008,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,238,264,375,356,377,419,343,274,309,341,322,294,299
Expenses+,243,249,247,249,258,331,273,198,232,246,240,226,294
Operating Profit,-5,15,128,106,119,88,71,76,76,95,82,68,4
OPM %,-2%,6%,34%,30%,32%,21%,21%,28%,25%,28%,25%,23%,2%
Other Income+,27,32,4,15,16,21,15,49,48,45,166,38,109
Interest,1,4,2,1,0,0,0,0,0,0,0,0,0
Depreciation,4,5,8,8,9,9,8,7,6,6,7,7,7
Profit before tax,16,38,123,113,126,99,77,117,118,134,241,99,106
Tax %,44%,32%,35%,36%,34%,35%,21%,23%,24%,24%,22%,22%,
Net Profit+,9,26,80,73,83,65,61,90,90,101,189,77,85
EPS in Rs,,,105.56,96.19,109.44,85.62,80.72,118.87,118.68,133.97,249.15,101.88,111.87
Dividend Payout %,25%,10%,5%,5%,5%,6%,6%,4%,4%,4%,2%,5%,
