Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,TTM
Sales+,3,4,215,240,148,81,114,104,108
Expenses+,1,2,200,213,126,60,91,79,84
Operating Profit,2,1,14,27,23,21,24,25,23
OPM %,55%,35%,7%,11%,15%,26%,21%,24%,22%
Other Income+,0,1,3,1,1,2,2,1,5
Interest,0,1,12,19,13,7,8,9,9
Depreciation,0,0,2,6,7,9,6,7,8
Profit before tax,1,1,4,4,3,7,12,10,11
Tax %,22%,20%,25%,33%,43%,37%,22%,28%,
Net Profit+,1,1,3,3,2,5,9,8,8
EPS in Rs,,,4.82,3.27,0.88,2.51,4.35,3.71,3.62
Dividend Payout %,18%,15%,10%,4%,0%,10%,11%,13%,
