Metric,Dec 2013,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,209","2,044","1,648","1,717","1,889","2,133","2,170","2,117","2,297","2,238","2,366","2,149","2,264"
Expenses+,"1,107","1,783","1,417","1,439","1,526","1,650","1,642","1,610","1,862","1,989","2,049","1,909","1,995"
Operating Profit,102,261,231,279,363,483,528,507,435,249,317,240,270
OPM %,8%,13%,14%,16%,19%,23%,24%,24%,19%,11%,13%,11%,12%
Other Income+,12,135,22,24,20,35,53,46,49,45,55,45,39
Interest,106,139,108,90,74,75,74,51,36,46,35,29,25
Depreciation,89,138,100,99,101,102,109,111,112,112,110,110,109
Profit before tax,-81,120,45,114,208,342,398,391,335,136,227,146,175
Tax %,-50%,50%,22%,33%,36%,35%,33%,20%,25%,27%,26%,27%,
Net Profit+,-41,60,35,76,133,221,268,315,252,99,168,107,129
EPS in Rs,-1.80,2.63,1.56,3.36,5.88,9.74,11.83,13.90,11.13,4.38,7.40,4.71,5.69
Dividend Payout %,-0%,-0%,-0%,59%,43%,41%,63%,58%,81%,160%,108%,149%,
