Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,816,730,"1,030","1,345","1,587","2,039","2,213",774,655,189,4,0,0
Expenses+,668,581,817,"1,082","1,281","1,655","2,044",847,648,208,24,7,5
Operating Profit,147,149,213,262,307,384,169,-73,7,-19,-20,-7,-5
OPM %,18%,20%,21%,20%,19%,19%,8%,-9%,1%,-10%,-569%,,
Other Income+,6,8,21,13,6,11,26,-211,-677,-56,-92,47,54
Interest,14,13,15,23,21,25,41,37,29,7,2,2,1
Depreciation,77,60,74,87,104,154,167,115,80,17,1,0,0
Profit before tax,63,85,145,165,188,216,-13,-437,-779,-99,-116,37,48
Tax %,2%,6%,14%,11%,15%,17%,-15%,3%,0%,2%,3%,0%,
Net Profit+,62,80,125,146,160,178,-11,-450,-782,-100,-120,37,48
EPS in Rs,4.74,5.71,9.78,10.74,10.85,11.99,-0.84,-30.56,-52.88,-6.78,-8.09,2.53,3.26
Dividend Payout %,21%,17%,10%,9%,15%,8%,0%,0%,0%,0%,0%,0%,
