Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,329,319,312,342,297,299,276,287,299,337,386,424,418
Expenses+,300,290,291,331,296,295,272,267,278,310,353,389,382
Operating Profit,29,29,21,11,1,4,4,20,21,27,32,35,36
OPM %,9%,9%,7%,3%,0%,1%,2%,7%,7%,8%,8%,8%,9%
Other Income+,1,1,2,3,0,3,-59,5,23,4,6,6,8
Interest,0,0,0,0,1,1,2,2,1,1,1,1,1
Depreciation,1,2,2,2,1,2,7,6,5,5,4,5,5
Profit before tax,29,28,21,11,-0,4,-64,16,38,26,34,35,38
Tax %,35%,31%,-25%,19%,"4,608%",37%,1%,33%,13%,20%,19%,19%,
Net Profit+,19,19,26,9,-6,3,-65,11,33,21,27,29,31
EPS in Rs,5.96,6.13,8.23,2.93,-1.77,0.86,-20.25,3.39,10.38,6.57,8.62,8.99,9.74
Dividend Payout %,13%,13%,10%,27%,-45%,92%,0%,0%,8%,12%,9%,11%,
