Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,171,168,191,201,219,292,340,335,405,490,508
Expenses+,155,142,159,174,192,252,309,310,372,445,463
Operating Profit,17,26,31,27,27,40,30,25,32,45,45
OPM %,10%,16%,16%,14%,12%,14%,9%,7%,8%,9%,9%
Other Income+,0,1,0,4,0,-2,-2,-1,6,2,8
Interest,4,4,3,2,2,2,2,2,3,6,7
Depreciation,7,6,6,6,6,6,7,6,6,8,9
Profit before tax,7,17,22,24,19,30,20,15,29,34,38
Tax %,31%,37%,35%,30%,20%,25%,26%,27%,27%,26%,
Net Profit+,5,11,14,16,15,22,15,11,21,25,28
EPS in Rs,1.42,3.35,4.39,5.05,4.66,6.92,4.51,3.45,6.58,7.61,8.73
Dividend Payout %,53%,30%,23%,30%,21%,22%,22%,29%,38%,46%,
