Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,691,784,762,881,988,"1,362","1,624","1,874","1,907"
Expenses+,604,687,669,739,865,"1,187","1,381","1,622","1,662"
Operating Profit,86,97,93,141,123,175,243,252,246
OPM %,12%,12%,12%,16%,12%,13%,15%,13%,13%
Other Income+,2,2,3,10,6,12,19,29,31
Interest,7,13,16,10,7,13,12,13,12
Depreciation,28,35,42,45,46,53,61,76,80
Profit before tax,53,51,39,97,76,121,188,192,186
Tax %,32%,35%,22%,26%,25%,25%,25%,25%,
Net Profit+,36,33,30,72,57,90,140,143,139
EPS in Rs,6.27,5.79,5.29,12.30,9.72,15.31,23.86,23.33,22.58
Dividend Payout %,12%,13%,14%,20%,26%,20%,14%,26%,
