Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,102","1,324","1,135","1,858","1,832","1,689","1,814","2,243","3,503","5,107","4,929"
Expenses+,"1,052","1,249","1,071","1,688","1,672","1,570","1,674","2,098","3,239","4,639","4,498"
Operating Profit,50,74,64,170,160,119,140,145,264,467,431
OPM %,5%,6%,6%,9%,9%,7%,8%,6%,8%,9%,9%
Other Income+,44,46,48,15,-129,25,22,26,70,58,59
Interest,50,58,61,70,97,103,100,116,133,137,140
Depreciation,17,22,25,29,36,37,36,35,38,43,43
Profit before tax,27,39,26,86,-102,3,26,20,162,345,307
Tax %,28%,31%,48%,15%,-32%,-8%,54%,44%,41%,35%,
Net Profit+,20,29,13,75,-65,12,21,26,113,249,219
EPS in Rs,0.59,0.78,0.38,2.24,-1.88,0.44,0.64,0.81,2.83,6.24,5.49
Dividend Payout %,28%,21%,44%,10%,-3%,18%,16%,19%,18%,12%,
