Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,22,42,82,101,111,51,59,87,121,171,154
Expenses+,19,38,75,90,100,30,46,72,101,143,122
Operating Profit,3,4,6,11,11,21,13,15,20,28,31
OPM %,13%,9%,8%,11%,10%,42%,22%,17%,16%,17%,20%
Other Income+,0,0,1,0,0,0,0,0,1,1,1
Interest,2,2,2,4,4,7,5,5,5,4,4
Depreciation,0,0,0,1,1,2,1,1,1,1,2
Profit before tax,1,2,5,6,6,13,7,9,15,23,26
Tax %,40%,28%,29%,27%,25%,27%,27%,26%,32%,34%,
Net Profit+,1,1,3,5,4,10,5,7,10,16,17
EPS in Rs,1.02,0.54,0.98,1.33,1.27,2.81,1.54,1.94,2.09,2.91,3.29
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
