Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,649,737,710,493,418,522,470,374,505,659,887,"1,173","1,328"
Expenses+,569,612,607,447,340,401,382,290,394,515,694,931,"1,058"
Operating Profit,80,125,103,46,79,121,88,84,111,145,193,242,270
OPM %,12%,17%,14%,9%,19%,23%,19%,22%,22%,22%,22%,21%,20%
Other Income+,23,-205,-1,46,82,-2,5,-118,5,4,9,20,22
Interest,18,23,23,16,13,12,18,16,8,11,13,7,6
Depreciation,36,38,17,30,32,31,40,139,14,16,21,30,38
Profit before tax,49,-141,62,46,116,76,34,-189,95,122,169,225,247
Tax %,-23%,2%,12%,8%,1%,20%,8%,2%,20%,17%,15%,16%,
Net Profit+,60,-144,55,42,114,61,32,-192,76,102,143,188,205
EPS in Rs,16.58,-36.21,12.34,10.26,18.76,12.04,7.00,-26.74,15.50,21.34,27.43,33.72,36.82
Dividend Payout %,6%,-4%,12%,5%,5%,8%,0%,0%,8%,6%,4%,10%,
