Metric,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,756","2,169","3,568","2,504","2,221","3,543","4,079","4,113","3,897","3,805"
Expenses+,"1,680","2,042","3,496","2,444","2,081","3,296","3,762","3,833","3,721","3,644"
Operating Profit,76,127,72,60,140,247,317,280,176,161
OPM %,4%,6%,2%,2%,6%,7%,8%,7%,5%,4%
Other Income+,10,13,11,13,29,26,24,10,13,11
Interest,47,31,48,50,37,33,52,59,49,45
Depreciation,8,9,8,11,11,15,17,20,26,27
Profit before tax,31,100,27,13,120,225,272,210,114,100
Tax %,16%,26%,30%,24%,17%,27%,21%,21%,27%,
Net Profit+,26,74,19,10,100,164,214,165,83,77
EPS in Rs,162.19,46.43,11.71,6.16,62.70,18.42,23.86,14.36,8.18,7.71
Dividend Payout %,"1,778%",0%,85%,73%,0%,0%,2%,3%,6%,
