Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,14,35,159,186,314,161,91
Expenses+,26,45,85,138,257,213,161
Operating Profit,-12,-11,75,48,57,-52,-70
OPM %,-88%,-31%,47%,26%,18%,-32%,-76%
Other Income+,2,2,2,10,30,21,17
Interest,1,2,19,6,5,2,2
Depreciation,3,4,7,12,21,29,36
Profit before tax,-13,-14,50,41,61,-62,-91
Tax %,0%,1%,12%,22%,26%,-0%,
Net Profit+,-13,-15,44,32,45,-62,-93
EPS in Rs,"-1,499.44","-1,625.56","4,862.98",14.99,10.56,-14.46,-21.54
Dividend Payout %,0%,0%,0%,0%,0%,0%,
