Metric,Mar 2014,Mar 2015,Dec 20159m,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,TTM
Sales+,"2,591","5,570","4,001","5,320","6,428","8,032","7,908","6,050","6,765","8,753","9,280","8,964","9,123"
Expenses+,"2,482","5,128","3,638","4,789","5,622","7,031","6,940","5,548","5,823","7,581","7,856","7,613","7,796"
Operating Profit,109,442,363,531,806,"1,001",968,502,942,"1,172","1,424","1,351","1,327"
OPM %,4%,8%,9%,10%,13%,12%,12%,8%,14%,13%,15%,15%,15%
Other Income+,4,-183,-49,22,20,39,28,55,32,-749,409,150,120
Interest,63,121,50,59,51,50,52,55,35,23,107,78,35
Depreciation,120,238,163,232,268,287,316,306,273,296,322,331,343
Profit before tax,-70,-100,101,262,507,702,628,195,666,104,"1,403","1,092","1,068"
Tax %,17%,-22%,24%,35%,29%,29%,44%,45%,41%,231%,20%,24%,
Net Profit+,-81,-78,77,169,358,498,354,106,393,-136,"1,125",828,809
EPS in Rs,-8.82,-2.42,2.37,4.47,9.47,13.15,9.33,2.81,10.37,-3.59,29.66,21.81,21.33
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,24%,-70%,17%,32%,
