Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,40.82,0.73,21.23,2.09,19.51,15.04,27.28,7.75,44.71,18.28,57.72,33.60,35.74
Expenses+,37.67,5.31,18.57,5.07,17.05,13.28,25.92,13.08,44.78,22.28,55.55,35.27,37.15
Operating Profit,3.15,-4.58,2.66,-2.98,2.46,1.76,1.36,-5.33,-0.07,-4.00,2.17,-1.67,-1.41
OPM %,7.72%,-627.40%,12.53%,-142.58%,12.61%,11.70%,4.99%,-68.77%,-0.16%,-21.88%,3.76%,-4.97%,-3.95%
Other Income+,1.87,0.53,1.08,2.38,0.47,0.48,0.69,0.92,0.27,0.55,0.64,0.68,0.67
Interest,0.50,0.37,0.78,0.63,0.66,0.60,0.54,0.37,0.23,0.12,0.10,0.08,0.09
Depreciation,0.33,0.68,0.22,0.20,0.18,0.21,0.27,0.27,0.26,0.33,0.32,0.31,0.31
Profit before tax,4.19,-5.10,2.74,-1.43,2.09,1.43,1.24,-5.05,-0.29,-3.90,2.39,-1.38,-1.14
Tax %,7.64%,-3.53%,145.26%,-1.40%,-21.53%,31.47%,-5.65%,-3.96%,13.79%,0.26%,-1.26%,-31.88%,
Net Profit+,3.87,-4.91,-1.23,-1.41,2.54,0.98,1.30,-4.84,-0.34,-3.91,2.42,-0.95,-0.71
EPS in Rs,2.68,-3.39,-0.79,-0.97,1.76,0.68,0.90,-3.35,-0.24,-2.70,1.67,-0.66,-0.49
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
