Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,459,492,459,349,346,354,347,177,289,461,509,570,585
Expenses+,471,478,441,340,372,335,329,222,291,389,415,485,498
Operating Profit,-12,14,18,9,-27,19,18,-44,-1,71,94,85,87
OPM %,-3%,3%,4%,3%,-8%,5%,5%,-25%,-0%,16%,18%,15%,15%
Other Income+,30,34,19,16,58,44,25,16,19,17,18,20,22
Interest,0,0,1,1,1,1,1,1,1,1,3,1,1
Depreciation,7,11,9,7,7,7,8,7,7,7,7,7,7
Profit before tax,11,36,27,17,23,55,35,-36,10,80,101,98,101
Tax %,25%,12%,36%,49%,38%,32%,47%,2%,34%,32%,37%,18%,
Net Profit+,8,32,18,9,14,38,19,-37,6,54,64,81,79
EPS in Rs,0.95,3.71,2.08,0.87,1.35,4.58,2.37,-4.06,0.79,6.43,7.53,9.51,9.28
Dividend Payout %,53%,54%,72%,153%,137%,46%,-0%,-0%,-0%,34%,33%,30%,
