Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,918,933,880,867,796,545,669,713,704,733,754
Expenses+,656,728,699,821,696,538,659,800,778,765,776
Operating Profit,262,206,181,46,99,7,10,-87,-73,-32,-23
OPM %,29%,22%,21%,5%,12%,1%,2%,-12%,-10%,-4%,-3%
Other Income+,33,92,92,88,109,117,76,78,106,140,140
Interest,11,16,11,18,9,9,9,16,13,7,6
Depreciation,22,20,20,21,31,30,30,31,27,21,19
Profit before tax,262,261,243,96,168,85,47,-56,-8,81,92
Tax %,32%,26%,24%,-13%,29%,14%,9%,-28%,-231%,3%,
Net Profit+,179,190,175,108,116,69,41,-38,10,78,88
EPS in Rs,24.35,25.82,23.88,14.77,15.79,9.43,5.51,-5.17,1.35,10.56,11.87
Dividend Payout %,5%,5%,5%,8%,0%,0%,0%,0%,0%,0%,
