Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,155.95,108.90,142.10,88.61,77.37,97.71,128.62,126.99,85.37,93.62,80.19,65.35
Expenses+,156.04,108.20,141.37,88.26,79.49,99.88,117.55,125.03,95.01,98.09,82.33,70.56
Operating Profit,-0.09,0.70,0.73,0.35,-2.12,-2.17,11.07,1.96,-9.64,-4.47,-2.14,-5.21
OPM %,-0.06%,0.64%,0.51%,0.39%,-2.74%,-2.22%,8.61%,1.54%,-11.29%,-4.77%,-2.67%,-7.97%
Other Income+,1.59,0.81,0.70,0.25,0.42,0.68,0.95,0.69,1.05,0.48,0.51,0.52
Interest,0.23,0.16,0.26,0.14,0.50,0.34,0.08,0.32,0.13,0.56,0.20,0.19
Depreciation,0.21,0.20,0.24,0.23,0.19,0.79,0.07,0.06,0.05,0.04,0.03,0.03
Profit before tax,1.06,1.15,0.93,0.23,-2.39,-2.62,11.87,2.27,-8.77,-4.59,-1.86,-4.91
Tax %,37.74%,33.91%,33.33%,195.65%,-25.94%,82.44%,14.32%,38.77%,-23.83%,-25.27%,-26.88%,
Net Profit+,1.50,3.18,0.66,-0.27,-1.79,-4.80,10.16,1.37,-6.70,-3.41,-1.36,-4.41
EPS in Rs,7.65,16.22,0.56,-0.23,-1.52,-4.08,8.64,1.46,-7.12,-3.62,-1.45,-4.69
Dividend Payout %,0.00%,1.54%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
