Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,262,312,299,322,304,324,311,258,426,387,383,425,419
Expenses+,215,262,238,267,251,272,260,201,347,331,325,333,338
Operating Profit,47,50,62,55,53,52,51,57,79,57,59,92,81
OPM %,18%,16%,21%,17%,18%,16%,16%,22%,19%,15%,15%,22%,19%
Other Income+,9,12,11,27,20,17,18,16,17,10,21,23,37
Interest,7,6,6,8,8,9,12,12,5,5,7,12,11
Depreciation,11,14,15,20,20,22,25,26,27,30,28,25,26
Profit before tax,38,40,51,54,45,38,32,35,65,32,45,79,81
Tax %,26%,30%,11%,36%,47%,34%,8%,25%,28%,34%,27%,21%,
Net Profit+,28,28,45,34,24,26,29,27,47,21,33,62,68
EPS in Rs,3.99,3.35,5.39,4.08,2.89,3.04,3.52,3.14,5.67,2.56,3.94,7.47,8.15
Dividend Payout %,19%,24%,19%,27%,38%,36%,0%,0%,35%,0%,0%,40%,
