Metric,Mar 20193m,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,15,148,169,232,359,459,555,585
Expenses+,14,143,163,225,346,439,529,558
Operating Profit,1,5,5,7,13,20,26,27
OPM %,8%,3%,3%,3%,4%,4%,5%,5%
Other Income+,0,-1,0,0,0,1,1,1
Interest,0,2,2,2,3,5,7,7
Depreciation,0,0,0,0,1,1,1,1
Profit before tax,1,2,3,5,9,16,20,21
Tax %,33%,25%,31%,27%,25%,26%,28%,
Net Profit+,1,1,2,4,7,12,14,16
EPS in Rs,0.81,1.06,1.83,3.33,5.90,8.93,10.23,10.73
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
