Metric,Mar 20154m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,0,"1,581","3,909","4,802","6,643","10,885","12,524","13,871","15,905","18,870","21,948","21,742"
Interest,0,649,"1,505","1,770","2,148","4,562","4,961","5,157","6,645","8,551","10,458","10,826"
Expenses+,6,633,"1,044","1,597","2,467","3,739","6,534","11,298","8,693","9,310","10,555","12,364"
Financing Profit,-6,299,"1,360","1,436","2,028","2,584","1,029","-2,584",567,"1,009",936,"-1,448"
Financing Margin %,,19%,35%,30%,31%,24%,8%,-19%,4%,5%,4%,-7%
Other Income+,8,150,411,706,"1,063","1,549","2,022","2,823","2,469","2,171","2,967","3,084"
Depreciation,0,36,67,86,78,80,103,110,143,238,279,0
Profit before tax,2,414,"1,704","2,056","3,013","4,053","2,949",129,"2,893","2,943","3,623","1,636"
Tax %,75%,33%,35%,35%,35%,25%,25%,2%,24%,24%,24%,
Net Profit+,1,275,"1,112","1,346","1,952","3,024","2,205",126,"2,195","2,230","2,745","1,228"
EPS in Rs,0.01,2.51,10.15,11.28,16.36,18.78,13.69,0.78,13.62,13.84,17.04,7.62
Dividend Payout %,0%,0%,0%,9%,18%,0%,7%,0%,11%,11%,9%,
