Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,407,346,293,419,413,428,574,294,337,593,625,453,377
Expenses+,429,340,288,438,465,533,563,398,459,612,579,467,405
Operating Profit,-22,6,5,-20,-52,-105,11,-104,-122,-19,46,-14,-28
OPM %,-5%,2%,2%,-5%,-13%,-25%,2%,-35%,-36%,-3%,7%,-3%,-7%
Other Income+,18,11,13,20,10,32,9,24,7,13,6,14,17
Interest,1,0,0,1,0,0,3,2,2,8,11,3,2
Depreciation,6,8,9,13,18,18,39,29,15,10,8,8,7
Profit before tax,-11,8,9,-13,-60,-91,-22,-110,-131,-24,33,-10,-20
Tax %,53%,34%,140%,131%,-22%,7%,166%,8%,2%,57%,42%,-930%,
Net Profit+,-17,6,-4,-30,-46,-98,-59,-119,-133,-38,19,85,81
EPS in Rs,-2.64,0.86,-0.47,-3.71,-4.46,-9.63,-5.81,-11.75,-13.09,-3.67,1.95,7.28,6.77
Dividend Payout %,-30%,70%,-254%,-11%,-9%,-4%,-7%,-2%,-2%,0%,0%,0%,
