Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,"4,479","5,000","5,773","4,750","6,083","12,525","14,964","16,890","19,465","20,794"
Expenses+,0,"4,073","4,626","5,240","4,169","5,443","11,077","13,081","14,921","17,595","18,876"
Operating Profit,0,406,374,533,582,641,"1,449","1,883","1,969","1,870","1,918"
OPM %,,9%,7%,9%,12%,11%,12%,13%,12%,10%,9%
Other Income+,0,41,55,62,40,26,127,319,787,359,392
Interest,0,77,62,56,34,52,75,58,73,83,62
Depreciation,0,149,154,162,185,251,349,396,465,492,579
Profit before tax,0,221,214,378,403,365,"1,152","1,748","2,218","1,653","1,668"
Tax %,,21%,27%,34%,22%,22%,14%,24%,22%,36%,
Net Profit+,0,174,156,251,313,286,991,"1,325","1,723","1,054","1,044"
EPS in Rs,,,7.86,12.81,16.31,14.28,39.85,49.48,62.08,34.82,32.34
Dividend Payout %,,0%,17%,20%,21%,25%,9%,7%,6%,10%,
