Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,"5,489","7,679","8,482","7,604","6,196","6,527","7,053","7,685","8,168"
Interest,"3,537","5,167","5,875","5,101","4,065","3,900","4,263","4,552","4,837"
Expenses+,693,750,"1,737","1,253",998,"1,217",789,598,521
Financing Profit,"1,258","1,762",870,"1,250","1,133","1,410","2,001","2,535","2,809"
Financing Margin %,23%,23%,10%,16%,18%,22%,28%,33%,34%
Other Income+,0,4,7,16,5,2,4,6,25
Depreciation,24,31,66,59,53,51,51,56,60
Profit before tax,"1,235","1,734",811,"1,207","1,084","1,361","1,954","2,486","2,774"
Tax %,32%,31%,20%,23%,23%,23%,23%,22%,
Net Profit+,841,"1,192",646,930,836,"1,046","1,508","1,936","2,149"
EPS in Rs,32.86,46.29,25.00,35.96,32.28,40.31,58.06,74.49,82.61
Dividend Payout %,18%,13%,0%,0%,0%,0%,0%,7%,
