Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Sales+,"1,953","2,349","2,379","3,107","3,551","4,074","4,515","4,233","3,730","4,208","3,739",25
Expenses+,"1,920","2,308","2,334","3,056","3,494","4,005","4,438","4,144","3,653","4,109","3,853",78
Operating Profit,33,40,45,51,57,70,77,88,77,98,-113,-53
OPM %,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,-3%,-212%
Other Income+,8,13,10,10,19,15,17,17,17,16,6,-269
Interest,27,33,33,34,45,50,54,61,63,74,91,49
Depreciation,3,3,5,4,4,3,4,4,4,3,3,3
Profit before tax,12,18,18,22,28,32,35,40,28,37,-201,-373
Tax %,33%,34%,32%,33%,37%,36%,35%,24%,26%,27%,-1%,0%
Net Profit+,8,12,12,15,17,20,23,31,21,27,-200,-375
EPS in Rs,1.16,1.66,1.72,1.92,2.25,2.62,2.64,3.56,2.41,3.12,-23.30,-43.70
Dividend Payout %,8%,8%,11%,16%,13%,12%,11%,4%,6%,5%,0%,0%
