Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,434,754,908,921,"1,491","1,931","1,216","1,289","2,320","3,193","3,705","4,034","4,090"
Expenses+,374,623,727,758,"1,202","1,545","1,008","1,065","1,802","2,499","2,931","3,474","3,491"
Operating Profit,60,131,181,163,289,386,209,224,518,694,774,561,599
OPM %,14%,17%,20%,18%,19%,20%,17%,17%,22%,22%,21%,14%,15%
Other Income+,1,12,2,7,4,3,6,5,1,4,36,109,103
Interest,23,32,55,78,73,84,80,81,97,122,147,167,178
Depreciation,25,32,53,75,85,121,121,117,169,202,257,271,289
Profit before tax,13,79,75,17,135,184,15,32,253,374,406,231,235
Tax %,35%,5%,27%,33%,30%,35%,34%,35%,22%,34%,28%,-80%,
Net Profit+,8,75,55,11,95,120,10,21,198,248,291,415,422
EPS in Rs,0.65,5.49,3.81,0.78,5.82,7.36,0.59,1.29,12.36,15.52,16.11,22.91,23.33
Dividend Payout %,31%,7%,11%,26%,3%,4%,0%,0%,14%,13%,12%,9%,
