Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales+,130.38,286.13,197.30,98.18,107.45,95.40,83.97
Expenses+,110.33,246.40,168.46,81.20,84.98,80.34,78.02
Operating Profit,20.05,39.73,28.84,16.98,22.47,15.06,5.95
OPM %,15.38%,13.89%,14.62%,17.29%,20.91%,15.79%,7.09%
Other Income+,0.06,0.04,-15.08,1.26,1.18,1.03,1.07
Interest,0.18,0.21,0.13,1.57,0.06,0.10,0.43
Depreciation,2.69,3.25,4.54,4.71,5.13,2.19,-0.31
Profit before tax,17.24,36.31,9.09,11.96,18.46,13.80,6.90
Tax %,0.00%,0.00%,0.00%,13.80%,22.10%,17.90%,
Net Profit+,17.24,36.31,9.09,10.30,14.37,11.34,6.11
EPS in Rs,6.66,12.61,3.16,3.58,4.99,3.94,2.12
Dividend Payout %,0.00%,3.96%,6.33%,13.98%,0.00%,0.00%,
