Metric,Jun 2014,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,497","4,484","4,006","6,985","9,895","1,032",506,508,705,"1,334","2,222","3,503","3,663"
Expenses+,"3,439","4,368","3,931","6,853","9,768",453,317,288,547,870,"1,254","2,174","2,514"
Operating Profit,58,117,75,132,127,579,189,221,158,465,968,"1,329","1,149"
OPM %,2%,3%,2%,2%,1%,56%,37%,43%,22%,35%,44%,38%,31%
Other Income+,4,1,7,10,57,-161,42,5,9,31,19,157,545
Interest,25,33,28,60,96,155,199,238,330,636,"1,022","1,564","1,765"
Depreciation,5,7,5,7,8,20,20,19,21,38,71,111,120
Profit before tax,31,77,49,76,80,244,13,-32,-184,-179,-107,-188,-191
Tax %,20%,31%,37%,40%,48%,41%,94%,31%,3%,2%,-33%,-21%,
Net Profit+,25,53,31,46,42,142,1,-42,-190,-183,-71,-149,-150
EPS in Rs,0.60,1.10,0.63,0.72,0.77,2.79,0.35,-1.13,-4.25,-3.60,-2.39,-4.51,-2.96
Dividend Payout %,0%,0%,0%,7%,7%,2%,0%,0%,0%,0%,0%,0%,
