Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,679","1,128","1,099","1,041",986,990,856,861,"1,174","1,165",702,731,799
Expenses+,"1,355",928,918,864,895,906,784,760,946,"1,019",606,677,749
Operating Profit,324,200,181,176,91,85,72,101,228,146,96,54,50
OPM %,19%,18%,16%,17%,9%,9%,8%,12%,19%,13%,14%,7%,6%
Other Income+,6,4,4,5,96,66,63,33,60,77,30,48,44
Interest,37,28,21,17,18,10,6,6,10,15,12,12,10
Depreciation,93,62,60,48,44,44,42,32,25,21,9,6,5
Profit before tax,200,113,104,116,126,97,88,96,254,187,104,85,79
Tax %,4%,8%,10%,13%,24%,22%,30%,33%,27%,42%,24%,31%,
Net Profit+,191,104,94,101,96,75,61,65,186,108,79,58,55
EPS in Rs,29.21,15.79,14.24,15.36,14.48,11.16,8.95,9.11,27.95,16.31,11.53,8.55,8.23
Dividend Payout %,7%,13%,14%,0%,21%,27%,117%,33%,11%,18%,0%,0%,
