Metric,Mar 2008,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,117,521,499,543,625,286,13,13,12,14,12,7,8
Expenses+,105,361,398,414,427,300,128,93,134,139,140,172,194
Operating Profit,13,159,102,129,198,-14,-116,-80,-122,-126,-128,-166,-186
OPM %,11%,31%,20%,24%,32%,-5%,-917%,-593%,"-1,032%",-929%,"-1,094%","-2,487%","-2,473%"
Other Income+,3,9,19,21,23,27,14,8,5,14,29,11,7
Interest,5,5,6,6,5,2,1,1,1,0,0,0,0
Depreciation,4,12,18,21,21,11,4,4,4,7,6,6,6
Profit before tax,6,152,98,123,196,0,-106,-77,-122,-118,-106,-161,-184
Tax %,-32%,28%,26%,29%,37%,"15,038%",-11%,-7%,0%,0%,-1%,0%,
Net Profit+,8,109,72,87,124,-24,-94,-72,-122,-118,-105,-161,-184
EPS in Rs,0.48,5.70,3.76,4.57,6.48,-1.25,-4.94,-3.78,-5.59,-5.42,-4.82,-7.37,-8.44
Dividend Payout %,35%,7%,35%,15%,15%,-80%,0%,0%,0%,0%,0%,0%,
