Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,71,78,91,136,215,375,478,635,860,926
Expenses+,53,60,71,98,147,263,343,453,635,695
Operating Profit,18,18,20,38,68,112,135,182,225,231
OPM %,25%,24%,22%,28%,32%,30%,28%,29%,26%,25%
Other Income+,0,0,0,0,1,2,3,16,16,22
Interest,6,5,7,20,20,23,23,11,12,5
Depreciation,7,6,8,21,21,28,28,29,57,61
Profit before tax,5,8,5,-2,28,63,88,157,172,187
Tax %,41%,23%,21%,-18%,30%,30%,25%,27%,24%,
Net Profit+,3,6,4,-2,20,44,66,114,131,142
EPS in Rs,2.21,3.75,2.43,-0.79,11.09,6.74,10.04,13.33,13.55,15.15
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,
