Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"8,118","8,788","5,249","8,136","12,418","6,441","7,351","7,733"
Expenses+,"7,525","7,528","4,666","6,998","10,860","6,033","6,653","7,073"
Operating Profit,593,"1,259",583,"1,138","1,557",408,699,660
OPM %,7%,14%,11%,14%,13%,6%,10%,9%
Other Income+,63,63,73,103,123,319,525,450
Interest,225,469,530,389,536,588,608,532
Depreciation,282,885,963,997,"1,227","1,017","1,166","1,243"
Profit before tax,149,-33,-838,-145,-82,-877,-550,-665
Tax %,-115%,402%,-12%,-18%,-28%,-16%,-17%,
Net Profit+,321,-165,-736,-118,-59,-736,-456,-595
EPS in Rs,3.72,-1.89,-7.93,-1.16,-0.38,-6.19,-3.08,-4.52
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
