Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,622,534,497,549,634,685,806,952,"1,214","1,493","1,639","1,655"
Expenses+,547,481,467,475,534,576,613,768,942,"1,176","1,298","1,324"
Operating Profit,75,53,31,74,100,109,193,184,271,317,341,331
OPM %,12%,10%,6%,13%,16%,16%,24%,19%,22%,21%,21%,20%
Other Income+,5,6,24,22,9,12,50,27,25,27,48,52
Interest,36,23,20,22,25,23,19,17,19,33,28,26
Depreciation,26,30,35,33,38,38,40,39,41,64,101,102
Profit before tax,18,5,0,40,46,59,184,155,236,247,259,255
Tax %,183%,292%,"2,400%",30%,30%,-11%,26%,25%,22%,22%,23%,
Net Profit+,-15,-10,-2,28,33,66,136,117,184,194,200,199
EPS in Rs,-2.48,-1.74,-0.41,4.88,5.66,11.37,23.68,17.63,27.73,29.14,30.08,29.87
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,7%,7%,7%,
