Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,742,678,698,678,511,524,423,394,396,203,211,214,213
Expenses+,678,615,649,642,481,488,388,354,356,193,192,212,204
Operating Profit,64,63,49,36,30,37,35,40,39,10,19,3,8
OPM %,9%,9%,7%,5%,6%,7%,8%,10%,10%,5%,9%,1%,4%
Other Income+,-0,0,4,12,7,4,2,-25,0,2,1,18,3
Interest,38,42,35,33,30,30,33,28,22,17,16,10,9
Depreciation,15,15,15,15,12,11,11,11,3,3,3,1,1
Profit before tax,12,6,3,1,-6,0,-7,-25,15,-9,0,10,1
Tax %,22%,34%,35%,-260%,166%,-23%,-82%,-69%,3%,41%,"-1,118%",59%,
Net Profit+,9,4,2,2,-15,0,-1,-8,15,-13,5,4,-2
EPS in Rs,0.36,0.16,0.09,0.09,-0.60,0.01,-0.05,-0.31,0.59,-0.51,0.19,0.16,-0.09
Dividend Payout %,24%,53%,50%,0%,0%,0%,0%,0%,15%,0%,0%,27%,
