Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,701","3,415","4,041","3,884","2,275","2,362","2,617","1,995","3,380","3,891","4,544","5,093","5,225"
Expenses+,"3,234","2,919","3,642","3,463","1,743","1,985","2,432","1,750","2,850","3,330","3,854","4,345","4,495"
Operating Profit,467,496,399,421,531,377,185,244,530,562,690,749,730
OPM %,13%,15%,10%,11%,23%,16%,7%,12%,16%,14%,15%,15%,14%
Other Income+,99,131,41,165,106,247,202,-115,83,149,163,-1,29
Interest,438,516,602,579,489,370,266,401,420,412,362,322,311
Depreciation,82,80,55,78,54,50,66,72,82,81,98,100,99
Profit before tax,46,32,-216,-71,94,204,55,-344,112,218,393,326,348
Tax %,46%,69%,-9%,45%,-12%,22%,43%,-21%,39%,18%,26%,27%,
Net Profit+,25,10,-196,-103,105,154,11,-291,72,183,290,248,274
EPS in Rs,0.60,0.31,-7.10,-1.82,1.85,2.61,0.18,-4.16,1.00,2.37,3.75,2.94,3.19
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
