Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,223,219,213,314,366,417,462,460
Expenses+,204,195,182,276,317,353,394,390
Operating Profit,19,24,31,39,49,63,68,70
OPM %,8%,11%,15%,12%,13%,15%,15%,15%
Other Income+,0,0,0,0,1,0,1,0
Interest,13,16,15,16,18,17,8,7
Depreciation,1,3,3,3,2,2,2,2
Profit before tax,5,4,13,20,30,45,59,62
Tax %,28%,25%,26%,26%,26%,28%,27%,
Net Profit+,3,3,10,15,22,32,43,45
EPS in Rs,0.05,0.05,0.15,0.23,0.34,0.33,0.44,0.46
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
