Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,993","4,370","4,608","5,599","6,670","7,166","7,951","9,608","10,063"
Expenses+,"1,776","3,981","4,204","4,895","5,781","6,361","6,694","8,222","8,643"
Operating Profit,217,389,405,704,889,806,"1,257","1,386","1,420"
OPM %,11%,9%,9%,13%,13%,11%,16%,14%,14%
Other Income+,12,21,36,-53,122,172,48,95,118
Interest,28,61,102,107,211,552,627,737,765
Depreciation,44,95,225,249,291,305,302,370,397
Profit before tax,157,254,114,294,508,120,377,374,376
Tax %,-4%,8%,33%,80%,33%,149%,48%,56%,
Net Profit+,164,235,76,58,339,-59,197,164,145
EPS in Rs,,24.20,-25.63,-36.09,49.31,-51.73,-12.83,-14.82,-20.51
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
