Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,368,457,520,947,"1,392","1,721","1,783","1,866"
Expenses+,357,442,507,915,"1,357","1,672","1,728","1,818"
Operating Profit,10,15,13,32,36,49,54,49
OPM %,3%,3%,2%,3%,3%,3%,3%,3%
Other Income+,3,1,6,1,10,20,19,27
Interest,5,5,5,6,9,10,10,12
Depreciation,1,1,1,1,2,1,1,1
Profit before tax,8,11,13,25,34,58,62,63
Tax %,29%,30%,28%,23%,20%,17%,14%,
Net Profit+,6,8,9,19,27,48,53,54
EPS in Rs,5.04,6.71,8.23,13.32,19.52,31.22,30.77,37.19
Dividend Payout %,5%,7%,0%,4%,3%,2%,2%,
