Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,1.22,1.67,1.61,0.60,0.00,0.44,1.90,1.58,1.57,0.75
Expenses+,1.29,1.35,1.18,8.71,0.32,0.80,2.12,1.76,1.88,1.12
Operating Profit,-0.07,0.32,0.43,-8.11,-0.32,-0.36,-0.22,-0.18,-0.31,-0.37
OPM %,-5.74%,19.16%,26.71%,"-1,351.67%",,-81.82%,-11.58%,-11.39%,-19.75%,-49.33%
Other Income+,0.61,0.64,0.44,0.30,1.25,0.90,0.55,1.10,0.53,0.42
Interest,0.05,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00
Depreciation,0.22,0.12,0.06,0.03,0.02,0.01,0.01,0.01,0.03,0.04
Profit before tax,0.27,0.83,0.81,-7.84,0.91,0.53,0.31,0.90,0.18,0.01
Tax %,14.81%,14.46%,27.16%,-25.64%,23.08%,-1.89%,3.23%,21.11%,-27.78%,
Net Profit+,0.22,0.71,0.59,-5.82,0.71,0.55,0.30,0.72,0.23,0.08
EPS in Rs,0.71,2.28,1.90,-18.72,2.28,1.77,0.97,2.32,0.74,0.26
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
