Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,207,267,233,299,368,431,523,555,677,628,458,381,378
Expenses+,171,213,201,236,299,354,437,443,522,551,464,448,396
Operating Profit,35,54,32,63,69,76,85,112,154,77,-6,-66,-18
OPM %,17%,20%,14%,21%,19%,18%,16%,20%,23%,12%,-1%,-17%,-5%
Other Income+,-0,-16,4,-8,12,11,12,8,10,13,6,6,4
Interest,9,13,13,12,11,12,13,5,9,21,25,37,40
Depreciation,15,13,10,14,15,19,23,26,34,34,36,44,45
Profit before tax,11,13,12,29,56,56,61,89,121,35,-62,-141,-98
Tax %,22%,-17%,59%,33%,37%,36%,23%,27%,26%,27%,-24%,-4%,
Net Profit+,9,15,5,19,35,36,48,65,90,26,-47,-135,-114
EPS in Rs,4.09,6.66,2.24,8.57,15.65,16.03,21.21,29.04,40.12,11.41,-20.95,-60.16,-50.92
Dividend Payout %,21%,16%,0%,15%,8%,8%,6%,5%,3%,12%,0%,0%,
