Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,102,116,132,183,249,373,519,606
Expenses+,69,85,92,116,161,263,395,465
Operating Profit,32,32,40,67,87,110,124,141
OPM %,32%,27%,30%,37%,35%,29%,24%,23%
Other Income+,-2,0,1,1,5,7,8,10
Interest,0,1,1,5,3,3,1,1
Depreciation,8,9,9,13,16,21,24,28
Profit before tax,22,23,31,50,73,93,107,121
Tax %,19%,20%,19%,18%,17%,18%,19%,
Net Profit+,17,18,25,41,61,76,87,98
EPS in Rs,2.49,2.37,2.49,5.90,7.90,9.06,10.22,11.46
Dividend Payout %,0%,0%,0%,21%,15%,13%,12%,
